id,nombre,categoria,fecha_creacion,tipo_transmision,vectores_ataque,IOC(Indicadores de compromiso),IF(impacto financiero),Perdida_datos,plataforma,region,autor,funcion,objetivo,uso_cpu,duracion,ruta,nivel
24,Waterfox,Malware,25-12-2023,"Descarga, explotacion","Explotacion de vulnerabilidades en navegadores, ingenieria social","Procesos inusuales, consumo excesivo de recursos, redireccionamientos","Perdida de productividad, robo de datos",Perdida de productividad,"Windows, MacOs",Global,Grupos de cibercriminales,Secuestro del navegador,robo de credenciales,50-100%,Alto,Navegador,4
25,Evil Twin,Ataque de red,26-12-2023,Wi-Fi,Creaciones de redes Wi-Fi falsas,"Interceptacion de trafico, autenticacion en redes falsas","Robo de credenciales, ataques de pishing",Robo de credenciales,Todos los sistemas operativos,Global,Hackers individuales,Robo de datos,ataques de MITM,1-15%,Continuo,Capa de enlace de datos,3
26,Keylogger,Spyware,27-12-2023,Software,Registro de pulsaciones de teclas,"Desempeño lento del sistema, procesos desconocidos",Robo de informacion personal,Robo de contraseñas,Cualquier sistema operativo,Global,Cibercriminales individuales,Acceso al software,Robo de credenciales,1-20%,Continuo,"Kernel, controladores de teclado",3
27,ataque de sim swapping con criptomoneda,Suplatacion de identidad,04-01-2024,Redes moviles,"Ingenieria social, corrupcion de empleados de operadores moviles",Perdida de acceso a numero de telefono,"transacciones fraudulentas, perdida financiera",robo de identidad,Cualquier sistema operativo,Global,cibercriminales especializado,Acceso de cuentas,Robo de criptomoneda,1-25%,Temporal,Redes moviles,4
28,Ataque de supply chain de firmaware,Compromiso de terceros,03-01-2023,Hardware,Compromiso de la cadena de suministros de hardware,"Comportamiento anormal del dispositivo, dificultad para detectar y eliminar el malware","Perdida de control de dispositivos, espionaje industrial","Dispositivos loT, servidores",Cualquier sistema operativo,Global,Estados-nacion,infeccion del proveedor,Control a largo plazo de dispositivos,1-100%,Permanente,Firmaware,5
29,Waterholing,Ingenieria social,05-01-2024,Web,"Explotacion de vulnerabilidades en sistios web financieros, pishing","Redireccionamientos a sitios falsos, descargas de malwares","Perdida financiera, daño a la reputacion","Credenciales de acceso, informacion financiera",Cualquier sistema operativo,Global,Grupos de cibercriminales organizados,Robo de credencial,fraude financiero,1-20%,Continua,Sitios web,4
30,Ataque de dia cero,Explotacion,06-01-2024,Software,Vulnerabilidades desconocidas,"Comportamiento anormal del software, fallas del sistema",Interrupcion del servicio,Datos de servicios,Cualquier sistema operativo,Global,Hackers avanzados,Obtener acceso no autorizado,causar daño,1-100%,Temporal,Software vulnerable,5
31,Ransomware de doble extorsion con fuga de datos,Ransomware,07-01-2024,Red,"Cifrado de archivos, filtracion de datos","Mensajes de rescate, publicacion de datos robados en la dark web","Pago de rescate, daños y perjuicios y multas regulatorias","Todos los datos cifrados, datos publicados en la dark web",Cualquier sistema operativo,Global,Grupos de ransomware organizados,Obtener rescate,causar daño,80-100%,Continua,"Archivos del sistema, servidores de archivos",5
32,Ataque de cache poisoning,Envenamiento de cache,12-01-2024,DNS,Modificacion de registros DNS,Redireccionamientos a sitios maliciosos,"Perdida de datos, daño a la reputacion",cache,Servidores DNS,Global,Hackers con conocimientos de redes,Credenciales de acceso,"Robo de credenciales, pishing",1-20%,Continua,Servidores DNS,3
33,Ataque de pass-the-hash,Escalada de privilegios,13-01-2024,Redes corporativas,"Robo de hashes de contraseñas, utilizacion de herramientas de cracking",Acceso a cuentas con privilegios elevados,"Perdida de control de sistemas, robo de datos",Identidad virtual,Dominios Active Directory,Empresas,Hackers con conocimientos de Active Directory,suplantacion de identidad,Obtener acceso a sistemas con mayores privilegios,1-10%,Variable,Dominios Active Directory,4
34,Ataque de zerologon,Explotacion de vulnerabilidades,14-01-2024,Protocolo SMB,Explotacion de vulnerabilidades CVE-2020-1472,Acceso no autenticado a sistemas Windows,"Robo de datos, control remoto de sistemas",Informacion personal,Windows,Global,Grupos de hackers avanzados,Credenciales de administrador de dominios Active Directory,Obtener acceso a dominios Active Directory,1-20%,Permanente,Protocolo SMB,5
35,Ataque de replay de credenciales,Interceptacion,10-01-2024,Red,"Interceptacion de trafico, almacenamiento de credenciales","Repeticiones de sesiones, acceso no autorizado","Perdida financiera, daño a la reputacion","control de cuenta, informacion personal",Cualquier sistema operativo,Global,Hackers individuales,Credenciales de acceso,Obtener acceso no autorizado,1-15%,Variable,Capa de red,3
36,Ataque de inyeccion de SQL ciega,Inyeccion,11-01-2024,Aplicaciones Web,Analisis de la respuesta del servidor,"Robo de datos, modificacion de datos",N/A,Todo tipo de documentos,InterWeb,Global,Hackers con conocimientos tecnicos,Ejecuccion de comandos de manera remota,Obtener acceso a la base de datos,1-100%,Variable,Base de datos,4
37,Ataque de sim swapping con criptomoneda(variable),Suplantacion de identidad,18-01-2024,Redes moviles,"Ingenieria social, sim swapping, pishing","Perdida de acceso al numero de telefono, transacciones fraudulentas","Perdida financiera, robo de identidad",Control de usuario en servicio de llamada y mensajeria,Culaquier sistema operativo,Global,Cibercriminales especializados,Acceso a cuentas en linea,Robo de criptomonedas,10-20%,Temporal,"Redes moviles, aplicaciones de mensajeria",4
38,Ransomware como servicio(RaaS),Ransomware,02-02-2024,Varias,Afiliacion a redes de ransomware,"Cifrado de archivos, mensajes de rescate","Perdida financiera, dañoa la reputacion",Todos los datos cifrados,Cualquier sistem operativo,Global,Grupos cibercriminales,Cifrar archivos,Extorsionar a las victimas,1-100%,Permanente,Depende del vector de ataque,4
39,Ataque de contenedores,Explotacion,05-02-2024,"Red, contenedores","Explotacion de vulnerabilidades en contenedores, configuracion correcta","Procesos inusuales en contenedores, aumento en los uso de recursos",Perdida de datos interrupcion de servicios,Datos confidenciales almacenados en contenedores,Cualquier sistema operativo,Global,Grupos de hackers,Obtener acceso no autorizado a contenedores,Ejecutar codigo malicioso,1-100%,Temporal,"Docke, Kubernetes",4
40,Ataque de watering hole dirigido a la industria energetica,Ingenieria social,09-02-2024,Web,Explotacion de vulnerabilidades en sitios web de la industria energetica,"Redireccionamiento a sitios maliciosos, descargas de malwares","Perdida de propiedad intelectual, daños a reputacion, interrupcion de servicios","Datos confidenciales de la industria energetica, planos de infraestructura",Cualquier sistema operativo,Global,Grupos de espionaje industrial,Robo de propiedad intelectual,sabotaje,1-20%,Continua,Sitios web comprometidos,4
41,Ataque de pishing de CEO dirigido a proveedores,Ingenieria social,07-02-2024,Correo electronico,"Suplantacion de identidad de ejecutivos, solicitudes de pago falsas","Transferencias bancarias no autorizadas, cambios en los proveedores",Perdida financieras significativas,"informacion financiera, datos de proveedores",Cualquier sistema operativo,Global,Cibercriminales,Interrupcion de la cadena de suministros,Robo de fondos,5-20%,Una vez,Correo electronico,4
42,Ataque de side-channel a servicios en la nube,Obtencion de informacion,11-02-2024,Nube,"Monitoreo de patrones de trafico, analisis de tiempos de respuesta","Filtracion de informacion sensible, descifrado de claves","Perdida de datos confidenciales, violacion a la privacidad",Informacion personal y sensible,"Servicios de la nube(AWS, Azure, GCP)",Global,Investigadores cibercriminales avanzados,Decodificacion de claves,Obtener informacion confidencial,1-100%,Continua,"Trafico de red, tiempos de respuesta",5
43,Ataque de pishing especifico para la nube,Ingenieria social,13-02-2024,"Correo electronico, aplicaciones de colaboracion","Suplantacion de identidad, enlaces maliciosos","Credenciales robadas, acceso no autorizado a cuentas de la nube","Perdida de datos, daño a la reputacion",Informacion privada,"Plataformas de la nube(Office 365, G Suite)",Global,cibercriminales,Falsificacion y suplantar identidad,Obtener acceso a cuentas de la nube,1-10%,Continua,"Correo electronico, aplicaciones de colaboracion",3
44,Ataque de inyecccion de SQL en base de datos de la nube,Inyeccion,14-02-2024,Aplicaciones web,Explotacoin de vulnerabilidades en aplicaciones web,"Modificacion de datos de la base de datos, ejecucion de comandos arbitrarios","Perdida de datos, daño la base de datos",Claves y codigos,"Base de datos de la nube(AWS RDS, Azure SQL)",Global,Hackers con conocimientos tecnicos,Obtener acceso a la base de datos,modificar o eliminar datos,1-100%,Temporal,Base de datos de la nube,4
45,Ataque de inyeccion de comando en funciones de Lambda,Inyeccion,15-02-2024,HTTP,"Explotacion de vulnerabilidades en funciones Lambda, Inyeccion de comandos no autorizados","Ejecucion de comandos no autorizados, cambios en la configuracion de la funcion","Perdida de datos, secuestro de la funcion",Perdida del control en funcion,AWS Lambda,Global,Hackers con conocimientos tecnicos,Obtener acceso a recursos  del sistema subadyacente,Ejecutar comandos Lambda,1-100%,Temporal,Entorno de ejecucion de Lambda,4
46,Ataque de denegacion de servidores a funcion Serverless,Denegacion de servicio,16-02-2024,HTTP,"Envio de un gran numero de solicitudes, explotacion de vulnerabilidades","Aumento de trafico, latencia elevada, errores 502/503","Perdida de ingresos, daño a la reputacion",No hay perdida directa de datos,"Plataformas serverless(AWS Lambda, Azure Functions)",Global,"Grupos de Hackers, competidores",Sobrecargar el servidor,Interrupcion del servicio,50-100%,Mientras dure el ataque,Capa de aplicacion,3
47,Ataque de exfiltracion de datos a traves de funciones Serveless,Exfiltracion de datos,17-02-2024,HTTP,"Explotacion de vulnerabilidades en funciones serverless, configuracion incorrecta de permisos","Trasnferencia de datos a servidores externos, aumento del trafico de salida","Perdida de datos confidenciales, daños a la reputacion",Datos confidenciales,"Plataformas serveless(AWS Lambda, Azure Functions)",Global,Cibercriminales,Ingreso Ilegal, Robo de datos,1-100%,Continua o Intermitente,"Red, almacenamiento interno",4
48,Ataque de side-channel a funciones Serverless,Obtencion de informacion,18-02-2024,Nube,"Monitoreo de patrones de ejecucion de funciones, analisis de tiempos de respuesta","Filtracion de informacion sensible, descifrado de claves",Daño a la reputacion,"Perdida de datos confidenciales, violacion a la privacidad","Plataformas serverless(AWS Lambda, Azure Functions)",Global,"Investigadores, cibercriminales avanzados",Ejecuion de comandos de forma remota,obtener informacion sensible,1-100%,Continua,Entorno de ejecucion de funciones,4
49,Ataque de inyeccion de dependencia en funciones Serverless,Inyeccion,19-02-2024,HTTP,Explotacion de vulnerabilidades en bibliotecas y frameworks utilizados por las funciones,"Ejecucion de codigo arbitrario, acceso a recursos del sistema",Secuestro de la funcion,Perdida de datos sobre la funcion,"Pltaformas serverless(AWS Lambda, Azure Functions)",Global,Hckers con conocimientos tecnicos,Acceder a la interfaz de una funcion,Obtener acceso a recursos del sistema subadyacente,1-100%,Temporal,Entorno de ejecucion de funciones,4
50,Ataque de demegacion de servicio a base de datos,Denegacion de servicio,22-02-2024,Bases de datos,"Envio de gran numero de consultas, explotacion de vulnerabilidades","Disminucion del rendimiento de la base de datos, indisponibilidad  del servicio","Perdida de ingresos, daño la reputacion","Perdida del soporte en la base de datos, no hay perdida directa de datos",Culaquier sistema operativo,Global,"Hackers, competidores",Saturar el sistema de la base de datos,Interrupcion del servicio,80-100%,Mientras dure el ataque,Base de datos,3
51,NetWalker,Ransomware,01-01-2019,Descarga,"Pishing, explotar vilnerabilidades","Procesos sospechosos en ejecucion, conexion de red a servidores desconocidos, claves de registro modificadas, mensajes de rescate en el escritorio",Perdidas millonarias para empresas y organizadores,"Encriptado de archivos, posible perdida de datos si no se paga el rescate",Windows,Global,Grupo de hackers NetWalker,Encriptar archivos y exigir un rescate para su recuperacion,obtener ganancias financieras,80-100%,Continua,Red,4
52,REvil(Sodinokibi),Ransmoware,01-01-2019,Descarga,"Pishing, explotacion de vulnerabilidades, ataque de fuerza bruta",Archivos encriptados con extensiones especificas(ej.revil),Perdidas millonarias para empresas y organizaciones,"Encriptacion de archivos, posible perdida de datos si no se paga rescate","Windows, Linux",Global,Grupo de hackers REvil,Encriptar archivos y exigir un rescate para su recuperacion,Obtener ganancias financieras,80-100%,Continua,Red,4
53,Maze,Ransomware,01-01-2019,Descarga,"Pishing, Explotar vulnerabilidades","Procesos sospechoso en ejecucion, claves de registro modificadas, mensajes de rescate en el escritorio o en el archivo de texto",Perdidas millonarias para empresas y organizaciones,"Emcriptacion de datos, posible perdida de datos si no se pagan el rescate",Windows,Global,Grupo de hackers Maze,"Encriptar archivos y exigir un rescate para su recuperacion, y amenazar con publicar datos si no se paga el rescate",obtener ganancias financieras y dañar la reputacion de la victima,80-100%,Continua,Red,4
54,WannaCry,Ransomware,01-01-2017,Gusano,Explotacion de vilnerabilidades EternalBlue en Windows,"Archivos encriptados con la extension .wcry, Procesos sospechosos","Millones de dolares en perdidas, interrupcion de servicios","Encriptacion de archivos, posible perdida si no se paga el rescate",Windows,Global,Shadow Brokers(Se cree robado a la nasa),Encriptar archivos y exigir un rescate para su recuperacion,obtener ganancias financieras,80-100%,Continua o intermitente,Redes locales y a traves de internet,4
55,Emotet,Troyano bancario,01-01-2014,"Correo electronico, archivos adjuntos maliciosos",Correos electronicos con archivos adjuntos maliciosos,"Comportamiento inusual del sistema, Procesos sospechosos, Trafico de red inusual, Robo de credenciales bancarias",Robo de fondos de cuentas bancarias,"Robo de credenciales, posible acceso a informacion personal",Windows,Global,Grupos de Hackers Emotet,Robar credenciales bancarias y otra informacion sensible,ontener ganacias finacieras,1-100%,Intermitente,Correo electronico y redes,4
56,Exploir de dia cero generico,Explotacion de vulnerabilidades,01-01-2024,Todas,Aprovechamiento de vulnerabilidades desconocidas,"Comportamiento inusual del sistema, fallos inesperados, actividad sospechosa en la red",Variable,Potencial robo o modificacion de datos,Cualquier sistema operativo,Global,Investigadores o atacantes,Aprovechar una vulnerabilidad desconocida para tomar control de un sistema o ejecutar codigo malicioso,"Robar datos, dañar sistemas, obtener acceso no autorizado",1-100%,Temporal,Todas,4
57,Spyware,Software espia,01-01-1990,Instalacion directa,"Ingenieria social, descargas de software malicioso","lentitud del sistema, presencia de software desconocido, comportamiento inusual del sistema","Robo de informacion personal, financiera, etc",Robo de informacion sensible,Cualquier sistema operativo,Global,Variados,Esoiar la actividad del usuario,"Robar informacion personal, financiera o de navegacion",1-10%,Continua,Varia,3
58,Soofing,"Ingenieria social, suplantacion de identidad",01-01-1990,Manipulacoin de informacion de identificacion,"Correo electronicos, sitios web falsos, llamdas telefonicas, sms","solicitud de informacion inusuales, comunicacion inesperada, informacion de contacto sospechosa","Robo de informacion, acceso no autorizado, perdidas economicas","Robo de informacion personal, financiera o confidencial",Cualquier sistema operativo,Global,Variados,Hacerse pasar por otra persona o entidad,"Obtener informacion, acceso o realizar acciones fraudulentas",1-10%,Variable,Variable,3
59,DDos Amplificado,Ataque de denegacion de servicio,01-01-2012,Explotacion de sistios vulnerables,"Servidores DNS, Servidores NTP, otros servicios con capacidad de respuesta amplificada","Lentitud o inaccesibilidad de servicios en linea, trafico de red inusualmente alto, Multiples solicitudes desde direcciones IP sospechosas","Perdidas por interrupcion de servicios, daño a la reputacion",No hay perdida de datos directamente,Servicios en linea,Global,Variados,inundar un objetivo con trafico malicioso amplificado,"Interrumpir el servicio, dañar la reputacion, extorsionar",80-100%,Horas a dias,Internet,4
60,ToxicPanda,Troyano bancario para Android,01-01-2024,Se disfraza de aplicacines legitimas de Android,"Distribuviona traves de tiendas de aplicaciones de terceros, Ingenieria social para engañar a los usuarios","Aplicaciones de banca o Google Chrome con comportamiento inusual, Transacciones bancarias no autorizadas, Solicitudes de permisos inusuales por parte de aplicaciones",Robo de fondos de cuentas bancarias,Robo de credenciales bancarias,Android,China y se esta propagando al Globo,Desconocido,Evadir la seguridad bancaria tradicional y realizar retiros no autorizados,Robar fondos directamente de las cuentas bancarias de los usuarios,1-100%,Temporal,Descargas,4
